career_best_points,defence_touch_points,defending_bonus_points,empty_raid,green_cards,high_5s,location,match_played,name,not_out_percentage,player_id,player_team,player_team_arr,point,points_defence_offence,points_per_match_raid_tackle,raid_bonus_points,raid_map_locations,raid_points_per_match,raid_touch_points,raids,red_cards,role,series_id,series_name,success_raid_percent,success_raids,success_tackles,success_tackles_per_match,super_10s,super_raids,super_tackles,tackle_bonus_points,tackle_success_rate,tackles,total_capture_points,total_defending_points,total_raid_points,total_tackle_points,unsuccesful_tackles,unsuccess_raids,yellow_cards
1,1,0,0,0,0,,6,Bajirao Hodage,0.0,164,0,"[{'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",1,1,0.16,0,,0.0,0,0,0,,26,"Pro Kabaddi League Season 6, 2018",0.0,0,1,0.16,0,0,0,,7.14,14,,1,0,1,13,0,0
8,95,5,5,6,2,,61,Bajirao Hodage,100.0,164,0,"[{'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}, {'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}, {'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}, {'team_id': 6, 'team_name': 'Patna Pirates', 'team_short_name': 'Patna', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}, {'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}, {'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",95,95,1.55,0,,0.0,0,5,0,,0,,0.0,0,90,1.47,0,0,5,,38.61,246,,95,0,95,156,0,0
2,8,0,0,0,,,8,Swapnil Dilip Shinde,0.0,170,0,,8,8,1.0,0,,0.0,0,0,0,,1,"Pro Kabaddi League Season 1, 2014",0.0,0,8,1.0,,0,0,,26.66,30,,8,0,8,22,0,0
4,13,0,0,0,,,13,Swapnil Dilip Shinde,0.0,170,0,,13,13,1.0,0,,0.0,0,0,0,,8,"Pro Kabaddi League Season 5, 2017",0.0,0,13,1.0,,0,0,,29.54,44,,13,0,13,31,0,0
4,21,0,0,0,,,21,Swapnil Dilip Shinde,0.0,170,0,,21,21,1.0,0,,0.0,0,0,0,,0,,0.0,0,21,1.0,,0,0,,28.37,74,,21,0,21,53,0,0
4,0,0,6,0,,,3,Suresu Kumar,75.0,173,0,,6,6,2.0,1,,2.0,5,16,0,,1,"Pro Kabaddi League Season 1, 2014",37.5,6,0,0.0,,0,0,,0.0,6,,0,6,0,6,4,0
2,1,0,2,0,,,1,Suresu Kumar,50.0,173,0,,2,2,2.0,0,,1.0,1,6,0,,2,"Pro Kabaddi League Season 2, 2015",16.66,1,1,1.0,,0,0,,100.0,1,,1,1,1,0,3,0
2,0,0,2,0,,,3,Suresu Kumar,80.0,173,0,,2,2,0.66,0,,0.66,2,5,0,,3,"Pro Kabaddi League Season 3, 2016",40.0,2,0,0.0,,0,0,,0.0,0,,0,2,0,0,1,0
6,3,0,14,0,,,11,Suresu Kumar,61.7,173,0,,23,23,2.09,3,,1.81,17,47,0,,4,"Pro Kabaddi League Season 4, 2016",31.91,15,3,0.27,,0,0,,23.07,13,,3,20,3,10,18,0
2,0,0,7,0,,,3,Suresu Kumar,75.0,173,0,,2,2,0.66,0,,0.66,2,12,0,,8,"Pro Kabaddi League Season 5, 2017",16.66,2,0,0.0,,0,0,,0.0,1,,0,2,0,1,3,0
6,4,0,31,0,,,21,Suresu Kumar,66.27,173,0,,35,35,1.66,4,,1.47,27,86,0,,0,,30.23,26,4,0.19,,0,0,,19.04,21,,4,31,4,17,29,0
4,0,0,8,0,0,,6,Chandran Ranjit,60.0,36,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}]",6,6,1.0,3,,1.0,3,20,0,,1,"Pro Kabaddi League Season 1, 2014",30.0,4,0,0.0,0,0,0,,0.0,6,,0,6,0,6,8,0
1,1,0,5,0,0,,1,Chandran Ranjit,62.5,36,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}]",1,1,1.0,0,,0.0,0,8,0,,2,"Pro Kabaddi League Season 2, 2015",0.0,0,1,1.0,0,0,0,,50.0,2,,1,0,1,1,3,0
11,0,0,52,0,0,,11,Chandran Ranjit,77.86,36,0,"[{'team_id': 31, 'team_name': 'Gujarat Fortunegiants', 'team_short_name': 'Gujarat', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}]",51,51,4.63,8,,4.63,43,122,0,,8,"Pro Kabaddi League Season 5, 2017",41.8,43,0,0.0,1,3,0,,0.0,4,,0,51,0,4,27,0
11,5,1,116,0,0,,24,Chandran Ranjit,76.89,36,0,"[{'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",158,158,6.58,45,,6.37,108,316,0,,26,"Pro Kabaddi League Season 6, 2018",48.41,127,4,0.16,3,3,1,,33.33,15,,5,153,5,11,73,0
12,4,1,93,0,0,,18,Chandran Ranjit,74.12,36,0,"[{'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",104,104,5.77,30,,5.55,70,228,0,,49,"Pro Kabaddi League Season 7, 2019",43.85,76,3,0.16,2,3,1,,25.0,16,,4,100,4,13,59,0
12,10,2,274,0,0,,60,Chandran Ranjit,75.5,36,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}, {'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}, {'team_id': 31, 'team_name': 'Gujarat Fortunegiants', 'team_short_name': 'Gujarat', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}, {'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}, {'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",320,320,5.33,86,,5.16,224,694,0,,0,,44.66,250,8,0.13,6,9,2,,23.25,43,,10,310,10,35,170,0
2,6,0,0,0,,,11,Jeeva Gopal,0.0,53,0,,6,6,0.54,0,,0.0,0,2,0,,1,"Pro Kabaddi League Season 1, 2014",0.0,0,6,0.54,,0,0,,19.35,31,,6,0,6,25,2,0
1,1,0,0,0,,,2,Jeeva Gopal,0.0,53,0,,1,1,0.5,0,,0.0,0,0,0,,2,"Pro Kabaddi League Season 2, 2015",0.0,0,1,0.5,,0,0,,10.0,10,,1,0,1,9,0,0
0,0,0,0,0,,,5,Jeeva Gopal,0.0,53,0,,0,0,0.0,0,,0.0,0,0,0,,4,"Pro Kabaddi League Season 4, 2016",0.0,0,0,0.0,,0,0,,0.0,6,,0,0,0,6,0,0
2,5,2,0,0,,,6,Jeeva Gopal,0.0,53,0,,5,5,0.83,0,,0.0,0,0,0,,8,"Pro Kabaddi League Season 5, 2017",0.0,0,3,0.5,,0,2,,27.27,11,,5,0,5,8,0,0
2,12,2,0,0,,,24,Jeeva Gopal,0.0,53,0,,12,12,0.5,0,,0.0,0,2,0,,0,,0.0,0,10,0.41,,0,2,,17.24,58,,12,0,12,48,2,0
3,5,1,0,0,,,3,Kuldeep Singh,0.0,61,0,,5,5,1.66,0,,0.0,0,0,0,,1,"Pro Kabaddi League Season 1, 2014",0.0,0,4,1.33,,0,1,,35.71,14,,5,0,5,10,0,0
3,3,0,0,0,,,1,Kuldeep Singh,0.0,61,0,,3,3,3.0,0,,0.0,0,0,0,,3,"Pro Kabaddi League Season 3, 2016",0.0,0,3,3.0,,0,0,,75.0,4,,3,0,3,1,0,0
5,32,2,0,0,,,16,Kuldeep Singh,0.0,61,0,,32,32,2.0,0,,0.0,0,0,0,,8,"Pro Kabaddi League Season 5, 2017",0.0,0,30,1.87,,0,2,,47.05,68,,32,0,32,38,0,0
5,40,3,0,0,,,20,Kuldeep Singh,0.0,61,0,,40,40,2.0,0,,0.0,0,0,0,,0,,0.0,0,37,1.85,,0,3,,46.51,86,,40,0,40,49,0,0
5,1,0,3,0,,,1,Sinotharan Kanesharajah,100.0,21,0,,5,5,5.0,0,,4.0,4,5,0,,1,"Pro Kabaddi League Season 1, 2014",80.0,2,1,1.0,,1,0,,100.0,1,,1,4,1,0,0,0
1,0,0,2,0,,,2,Sinotharan Kanesharajah,66.66,21,0,,1,1,0.5,1,,0.5,0,3,0,,2,"Pro Kabaddi League Season 2, 2015",33.33,0,0,0.0,,0,0,,0.0,1,,0,1,0,1,1,0
5,1,0,5,0,,,3,Sinotharan Kanesharajah,87.5,21,0,,6,6,2.0,1,,1.66,4,8,0,,0,,62.5,2,1,0.33,,1,0,,50.0,2,,1,5,1,1,1,0
3,5,0,0,0,0,,3,Seong Ryeol Kim,0.0,13,0,"[{'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}]",5,5,1.66,0,,0.0,0,0,0,,1,"Pro Kabaddi League Season 1, 2014",0.0,0,5,1.66,0,0,0,,50.0,10,,5,0,5,5,0,0
4,4,1,0,0,0,,4,Seong Ryeol Kim,0.0,13,0,"[{'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}]",4,4,1.0,0,,0.0,0,0,0,,2,"Pro Kabaddi League Season 2, 2015",0.0,0,3,0.75,0,0,1,,33.33,9,,4,0,4,6,0,0
3,2,0,4,0,0,,8,Seong Ryeol Kim,50.0,13,0,"[{'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",5,5,0.62,0,,0.37,3,12,0,,3,"Pro Kabaddi League Season 3, 2016",16.66,2,2,0.25,0,0,0,,18.18,11,,2,3,2,9,6,0
0,0,0,0,0,0,0,0,Seong Ryeol Kim,0.0,13,0,"[{'team_id': 31, 'team_name': 'Gujarat Fortunegiants', 'team_short_name': 'Gujarat', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}]",0,0,0.0,0,0,0.0,0,0,0,0,8,"Pro Kabaddi League Season 5, 2017",0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,Seong Ryeol Kim,0.0,13,0,"[{'team_id': 30, 'team_name': 'U.P. Yoddha', 'team_short_name': 'UP', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",0,0,0.0,0,0,0.0,0,0,0,0,26,"Pro Kabaddi League Season 6, 2018",0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
4,11,1,4,0,0,,15,Seong Ryeol Kim,50.0,13,0,"[{'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}, {'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}, {'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}, {'team_id': 31, 'team_name': 'Gujarat Fortunegiants', 'team_short_name': 'Gujarat', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}, {'team_id': 30, 'team_name': 'U.P. Yoddha', 'team_short_name': 'UP', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",14,14,0.93,0,,0.2,3,12,0,,0,,16.66,2,10,0.66,0,0,1,,33.33,30,,11,3,11,20,6,0
2,4,1,0,0,,,5,Rupesh Tomar,100.0,97,0,,5,5,1.0,0,,0.2,1,1,0,,1,"Pro Kabaddi League Season 1, 2014",100.0,1,3,0.6,,0,1,,18.75,16,,4,1,4,13,0,0
4,6,2,1,0,,,6,Rupesh Tomar,80.0,97,0,,10,10,1.66,0,,0.66,4,5,0,,2,"Pro Kabaddi League Season 2, 2015",60.0,3,4,0.66,,0,2,,22.22,18,,6,4,6,14,1,0
3,3,0,1,0,,,3,Rupesh Tomar,25.0,97,0,,3,3,1.0,0,,0.0,0,4,0,,4,"Pro Kabaddi League Season 4, 2016",0.0,0,3,1.0,,0,0,,50.0,6,,3,0,3,3,3,0
1,1,0,7,0,,,1,Rupesh Tomar,100.0,97,0,,1,1,1.0,0,,0.0,0,7,0,,8,"Pro Kabaddi League Season 5, 2017",0.0,0,1,1.0,,0,0,,50.0,2,,1,0,1,1,0,0
4,14,3,9,0,,,15,Rupesh Tomar,76.47,97,0,,19,19,1.26,0,,0.33,5,17,0,,0,,23.52,4,11,0.73,,0,3,,26.19,42,,14,5,14,31,4,0
2,0,0,5,0,0,,7,Prashanth Kumar Rai,76.92,155,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}]",5,5,0.71,1,,0.71,4,13,0,,1,"Pro Kabaddi League Season 1, 2014",38.46,5,0,0.0,0,0,0,,0.0,8,,0,5,0,8,3,0
10,4,1,45,0,0,,15,Prashanth Kumar Rai,82.07,155,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}]",58,58,3.86,8,,3.6,46,106,0,,2,"Pro Kabaddi League Season 2, 2015",50.94,42,3,0.2,1,1,1,,40.0,10,,4,54,4,7,19,0
3,0,0,16,0,0,,13,Prashanth Kumar Rai,68.57,155,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",12,12,0.92,3,,0.92,9,35,0,,3,"Pro Kabaddi League Season 3, 2016",34.28,8,0,0.0,0,0,0,,0.0,4,,0,12,0,4,11,0
10,0,0,18,0,0,,9,Prashanth Kumar Rai,76.92,155,0,"[{'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}]",19,19,2.11,3,,2.11,16,39,0,,4,"Pro Kabaddi League Season 4, 2016",48.71,12,0,0.0,1,2,0,,0.0,0,,0,19,0,0,9,0
16,2,1,61,0,0,,16,Prashanth Kumar Rai,82.55,155,0,"[{'team_id': 28, 'team_name': 'Haryana Steelers', 'team_short_name': 'Haryana', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}]",80,80,5.0,15,,4.87,63,149,0,,8,"Pro Kabaddi League Season 5, 2017",52.34,62,1,0.06,3,3,1,,20.0,10,,2,78,2,9,26,0
13,3,1,102,1,0,,21,Prashanth Kumar Rai,81.99,155,0,"[{'team_id': 30, 'team_name': 'U.P. Yoddha', 'team_short_name': 'UP', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",147,147,7.0,58,,6.85,86,261,0,,26,"Pro Kabaddi League Season 6, 2018",55.17,112,2,0.09,5,2,1,,33.33,9,,3,144,3,7,47,0
10,0,0,31,0,0,,13,Prashanth Kumar Rai,76.76,155,0,"[{'team_id': 28, 'team_name': 'Haryana Steelers', 'team_short_name': 'Haryana', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",58,58,4.46,12,,4.46,46,99,0,,49,"Pro Kabaddi League Season 7, 2019",58.58,45,0,0.0,1,0,0,,0.0,5,,0,58,0,5,23,0
16,9,3,278,1,0,,94,Prashanth Kumar Rai,80.34,155,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}, {'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}, {'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}, {'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}, {'team_id': 28, 'team_name': 'Haryana Steelers', 'team_short_name': 'Haryana', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}, {'team_id': 30, 'team_name': 'U.P. Yoddha', 'team_short_name': 'UP', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}, {'team_id': 28, 'team_name': 'Haryana Steelers', 'team_short_name': 'Haryana', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",379,379,4.03,100,,3.93,270,702,0,,0,,52.7,286,6,0.06,11,8,3,,19.56,46,,9,370,9,40,138,0
2,3,0,1,0,0,,9,Rakesh Singh Kumar,100.0,158,0,"[{'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}]",4,4,0.44,0,,0.11,1,2,0,,1,"Pro Kabaddi League Season 1, 2014",50.0,1,3,0.33,0,0,0,,10.34,29,,3,1,3,26,0,0
6,19,2,5,1,1,,13,Rakesh Singh Kumar,83.33,158,0,"[{'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}]",19,19,1.46,0,,0.0,0,6,0,,2,"Pro Kabaddi League Season 2, 2015",0.0,0,17,1.3,0,0,2,,28.81,59,,19,0,19,42,1,0
2,3,0,5,0,0,,8,Rakesh Singh Kumar,100.0,158,0,"[{'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",3,3,0.37,0,,0.0,0,5,0,,3,"Pro Kabaddi League Season 3, 2016",0.0,0,3,0.37,0,0,0,,12.0,25,,3,0,3,22,0,0
7,24,1,3,1,1,,19,Rakesh Singh Kumar,100.0,158,0,"[{'team_id': 28, 'team_name': 'Haryana Steelers', 'team_short_name': 'Haryana', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}]",24,24,1.26,0,,0.0,0,3,0,,8,"Pro Kabaddi League Season 5, 2017",0.0,0,23,1.21,0,0,1,,28.04,82,,24,0,24,59,0,0
0,0,0,0,0,0,0,0,Rakesh Singh Kumar,0.0,158,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",0,0,0.0,0,0,0.0,0,0,0,0,26,"Pro Kabaddi League Season 6, 2018",0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
7,49,3,14,2,2,,49,Rakesh Singh Kumar,93.75,158,0,"[{'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}, {'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}, {'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}, {'team_id': 28, 'team_name': 'Haryana Steelers', 'team_short_name': 'Haryana', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}, {'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",50,50,1.02,0,,0.02,1,16,0,,0,,6.25,1,46,0.93,0,0,3,,23.58,195,,49,1,49,149,1,0
3,2,1,3,0,0,,9,Tae Deok Eom,50.0,14,0,"[{'team_id': 6, 'team_name': 'Patna Pirates', 'team_short_name': 'Patna', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}]",4,4,0.44,1,,0.22,1,8,0,,1,"Pro Kabaddi League Season 1, 2014",25.0,1,1,0.11,0,0,1,,22.22,9,,2,2,2,8,4,0
5,5,0,7,0,0,,8,Tae Deok Eom,75.0,14,0,"[{'team_id': 6, 'team_name': 'Patna Pirates', 'team_short_name': 'Patna', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}]",16,16,2.0,2,,1.37,9,20,0,,2,"Pro Kabaddi League Season 2, 2015",55.0,8,5,0.62,0,0,0,,50.0,10,,5,11,5,5,5,0
1,0,0,2,0,0,,7,Tae Deok Eom,60.0,14,0,"[{'team_id': 6, 'team_name': 'Patna Pirates', 'team_short_name': 'Patna', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",1,1,0.14,0,,0.14,1,5,0,,3,"Pro Kabaddi League Season 3, 2016",20.0,1,0,0.0,0,0,0,,0.0,8,,0,1,0,8,2,0
1,1,0,1,0,0,,11,Tae Deok Eom,50.0,14,0,"[{'team_id': 6, 'team_name': 'Patna Pirates', 'team_short_name': 'Patna', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",1,1,0.09,0,,0.0,0,2,0,,26,"Pro Kabaddi League Season 6, 2018",0.0,0,1,0.09,0,0,0,,6.25,16,,1,0,1,15,1,0
0,0,0,0,0,0,0,0,Tae Deok Eom,0.0,14,0,"[{'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}]",0,0,0.0,0,0,0.0,0,0,0,0,4,"Pro Kabaddi League Season 4, 2016",0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
5,8,1,13,0,0,,35,Tae Deok Eom,65.71,14,0,"[{'team_id': 6, 'team_name': 'Patna Pirates', 'team_short_name': 'Patna', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}, {'team_id': 6, 'team_name': 'Patna Pirates', 'team_short_name': 'Patna', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}, {'team_id': 6, 'team_name': 'Patna Pirates', 'team_short_name': 'Patna', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}, {'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}, {'team_id': 6, 'team_name': 'Patna Pirates', 'team_short_name': 'Patna', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",22,22,0.62,3,,0.4,11,35,0,,0,,40.0,10,7,0.2,0,0,1,,18.6,43,,8,14,8,36,12,0
2,2,0,0,0,0,,5,Raju Lal Choudhary,0.0,87,0,"[{'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}]",2,2,0.4,0,,0.0,0,0,0,,1,"Pro Kabaddi League Season 1, 2014",0.0,0,2,0.4,0,0,0,,16.66,12,,2,0,2,10,0,0
1,1,0,0,0,0,,1,Raju Lal Choudhary,0.0,87,0,"[{'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",1,1,1.0,0,,0.0,0,0,0,,3,"Pro Kabaddi League Season 3, 2016",0.0,0,1,1.0,0,0,0,,33.33,3,,1,0,1,2,0,0
3,20,0,0,1,0,,16,Raju Lal Choudhary,0.0,87,0,"[{'team_id': 1, 'team_name': 'Bengaluru Bulls', 'team_short_name': 'Bengaluru', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",20,20,1.25,0,,0.0,0,0,0,,26,"Pro Kabaddi League Season 6, 2018",0.0,0,20,1.25,0,0,0,,36.36,55,,20,0,20,35,0,0
0,0,0,0,0,0,,1,Raju Lal Choudhary,0.0,87,0,"[{'team_id': 1, 'team_name': 'Bengaluru Bulls', 'team_short_name': 'Bengaluru', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",0,0,0.0,0,,0.0,0,0,0,,49,"Pro Kabaddi League Season 7, 2019",0.0,0,0,0.0,0,0,0,,0.0,0,,0,0,0,0,0,0
0,0,0,0,0,0,0,0,Raju Lal Choudhary,0.0,87,0,"[{'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}]",0,0,0.0,0,0,0.0,0,0,0,0,2,"Pro Kabaddi League Season 2, 2015",0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,Raju Lal Choudhary,0.0,87,0,"[{'team_id': 28, 'team_name': 'Haryana Steelers', 'team_short_name': 'Haryana', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}]",0,0,0.0,0,0,0.0,0,0,0,0,8,"Pro Kabaddi League Season 5, 2017",0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
