career_best_points,defence_touch_points,defending_bonus_points,empty_raid,green_cards,high_5s,location,match_played,name,not_out_percentage,player_id,player_team,player_team_arr,point,points_defence_offence,points_per_match_raid_tackle,raid_bonus_points,raid_map_locations,raid_points_per_match,raid_touch_points,raids,red_cards,role,series_id,series_name,success_raid_percent,success_raids,success_tackles,success_tackles_per_match,super_10s,super_raids,super_tackles,tackle_bonus_points,tackle_success_rate,tackles,total_capture_points,total_defending_points,total_raid_points,total_tackle_points,unsuccesful_tackles,unsuccess_raids,yellow_cards
18,7,1,127,2,0,,21,Rahul Chaudhari,75.14,81,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",166,166,7.9,38,,7.57,121,350,0,,26,"Pro Kabaddi League Season 6, 2018",45.42,136,6,0.28,4,4,1,,36.84,19,,7,159,7,13,87,0
14,8,0,103,1,0,,19,Rahul Chaudhari,72.62,81,0,"[{'team_id': 29, 'team_name': 'Tamil Thalaivas', 'team_short_name': 'Tamil Nadu', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",125,125,6.57,29,,6.15,88,274,0,,49,"Pro Kabaddi League Season 7, 2019",42.7,96,8,0.42,4,0,0,,28.57,28,,8,117,8,20,75,0
23,59,5,817,10,0,,119,Rahul Chaudhari,79.87,81,0,"[{'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}, {'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}, {'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}, {'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}, {'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}, {'team_id': 8, 'team_name': 'Telugu Titans', 'team_short_name': 'Hyderabad', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}, {'team_id': 29, 'team_name': 'Tamil Thalaivas', 'team_short_name': 'Tamil Nadu', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",1001,1001,8.41,152,,7.91,790,1993,0,,0,,47.26,775,54,0.45,40,24,5,,31.89,185,,59,942,59,131,401,1
13,7,1,30,0,0,,16,Maninder Singh,76.0,143,0,"[{'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}]",137,137,8.56,13,,8.12,117,175,0,,1,"Pro Kabaddi League Season 1, 2014",74.28,103,6,0.37,5,3,1,,36.84,19,,7,130,7,13,42,0
17,2,0,147,0,0,,21,Maninder Singh,82.01,143,0,"[{'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}]",192,192,9.14,40,,9.04,150,367,0,,8,"Pro Kabaddi League Season 5, 2017",51.77,154,2,0.09,9,6,0,,15.38,13,,2,190,2,11,66,0
17,0,0,141,0,0,,22,Maninder Singh,79.52,143,0,"[{'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",206,206,9.36,35,,9.36,171,376,0,,26,"Pro Kabaddi League Season 6, 2018",54.78,158,0,0.0,9,6,0,,0.0,5,,0,206,0,5,77,0
19,0,0,90,0,0,,19,Maninder Singh,82.02,143,0,"[{'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",192,192,10.1,30,,10.1,162,306,0,,49,"Pro Kabaddi League Season 7, 2019",62.74,161,0,0.0,9,6,0,,0.0,7,,0,192,0,7,55,0
0,0,0,0,0,0,0,0,Maninder Singh,0.0,143,0,"[{'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': False}]",0,0,0.0,0,0,0.0,0,0,0,0,2,"Pro Kabaddi League Season 2, 2015",0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
19,9,1,408,0,0,,78,Maninder Singh,80.39,143,0,"[{'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}, {'team_id': 3, 'team_name': 'Jaipur Pink Panthers', 'team_short_name': 'Jaipur', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': False}, {'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}, {'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}, {'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",727,727,9.32,118,,9.2,600,1224,0,,0,,58.66,576,8,0.1,32,21,1,,20.45,44,,9,718,9,36,240,0
16,5,0,73,1,0,,15,Ajay Thakur,74.56,26,0,"[{'team_id': 1, 'team_name': 'Bengaluru Bulls', 'team_short_name': 'Bengaluru', 'series_id': 1, 'series_name': 'Pro Kabaddi League Season 1, 2014', 'is_latest': True}]",127,127,8.46,21,,8.13,101,228,0,,1,"Pro Kabaddi League Season 1, 2014",53.5,96,5,0.33,5,2,0,,27.77,18,,5,122,5,13,58,0
12,1,0,79,6,0,,13,Ajay Thakur,71.05,26,0,"[{'team_id': 1, 'team_name': 'Bengaluru Bulls', 'team_short_name': 'Bengaluru', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}]",80,80,6.15,3,,6.07,76,190,0,,2,"Pro Kabaddi League Season 2, 2015",41.57,56,1,0.07,2,6,0,,16.66,6,,1,79,1,5,55,0
11,4,0,73,2,0,,14,Ajay Thakur,77.02,26,0,"[{'team_id': 7, 'team_name': 'Puneri Paltan', 'team_short_name': 'Pune', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",56,56,4.0,3,,3.71,49,148,0,,3,"Pro Kabaddi League Season 3, 2016",35.13,41,4,0.28,1,2,0,,44.44,9,,4,52,4,5,34,0
12,1,0,80,0,0,,16,Ajay Thakur,78.06,26,0,"[{'team_id': 7, 'team_name': 'Puneri Paltan', 'team_short_name': 'Pune', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}]",64,64,4.0,14,,3.93,49,155,0,,4,"Pro Kabaddi League Season 4, 2016",40.64,41,1,0.06,1,5,0,,12.5,8,,1,63,1,7,34,1
20,9,0,150,4,0,,22,Ajay Thakur,81.57,26,0,"[{'team_id': 29, 'team_name': 'Tamil Thalaivas', 'team_short_name': 'Tamil Nadu', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}]",222,222,10.09,48,,9.68,165,407,0,,8,"Pro Kabaddi League Season 5, 2017",52.33,182,9,0.4,12,3,0,,36.0,25,,9,213,9,16,75,0
20,1,0,131,3,0,,22,Ajay Thakur,79.38,26,0,"[{'team_id': 29, 'team_name': 'Tamil Thalaivas', 'team_short_name': 'Tamil Nadu', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",204,204,9.27,29,,9.22,174,388,0,,26,"Pro Kabaddi League Season 6, 2018",52.31,177,1,0.04,7,3,0,,9.09,11,,1,203,1,10,80,0
11,0,0,81,2,0,,13,Ajay Thakur,74.85,26,0,"[{'team_id': 29, 'team_name': 'Tamil Thalaivas', 'team_short_name': 'Tamil Nadu', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",58,58,4.46,6,,4.46,52,171,0,,49,"Pro Kabaddi League Season 7, 2019",33.91,47,0,0.0,1,2,0,,0.0,5,,0,58,0,5,43,0
